0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 
190 38 38 38 38 1 1 1 1 5 5 5 5 5 5 5 5 5 3 3 3 3 5 5 5 5 5 6 6 6 6 16 16 16 5 5 5 5 3 3 3 3 3 10 10 10 5 5 7 7 7 1 1 1 1 1 1 1 2 2 2 2 4 4 4 4 23 23 2 2 2 9 9 9 43 43 14 14 14 14 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 10 10 10 10 14 14 14 44 44 5 5 5 5 5 5 5 15 15 15 15 4 1 1 1 1 1 2 2 2 28 28 1 1 1 1 1 1 1 1 6 6 6 6 6 6 2 2 2 1 1 1 1 1 45 45 45 45 13 13 13 3 3 3 3 3 3 3 3 3 3 3 3 3 28 3 3 3 3 3 3 3 3 3 2 2 2 2 2 10 10 10 10 10 2 2 8 8 8 8 8 1 1 1 1 1 1 
189 5 5 5 5 1 1 1 1 1 5 5 5 5 5 5 5 5 5 3 3 5 5 5 5 5 5 6 6 6 6 16 16 16 5 5 5 5 3 3 3 3 10 10 10 10 5 5 7 7 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 21 21 2 28 28 28 43 43 43 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 10 10 10 10 14 44 44 44 5 5 5 5 5 5 5 15 15 15 4 4 4 1 1 1 1 1 2 28 28 28 28 1 1 1 1 1 1 1 6 6 6 6 6 6 47 47 47 47 1 1 1 1 45 45 45 45 9 9 9 3 3 3 3 3 3 3 3 3 3 3 3 28 28 28 3 3 3 3 3 3 3 2 2 2 2 2 2 10 10 10 10 10 1 1 1 1 1 1 1 1 1 1 1 1 1 
188 5 5 5 5 1 1 1 1 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 49 49 4 4 4 4 4 6 6 2 2 10 10 10 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 21 21 28 28 28 28 43 43 43 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 9 10 10 10 10 10 10 44 44 44 5 5 5 5 5 5 5 15 15 4 4 4 4 4 1 1 1 1 28 28 28 28 28 1 1 1 1 1 1 1 1 6 6 6 21 21 47 47 47 47 30 30 30 30 45 45 45 45 9 9 9 1 1 3 3 3 3 3 3 3 3 15 15 28 28 28 28 13 13 3 3 3 2 2 2 2 2 2 2 10 10 10 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
187 5 5 5 5 5 1 1 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 2 49 49 49 4 4 4 4 4 6 6 2 2 2 10 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 21 21 28 28 28 28 43 43 2 2 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 9 9 9 10 10 10 10 10 7 7 44 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 1 9 9 28 28 28 28 28 1 1 1 1 1 1 1 1 1 6 21 21 21 47 47 47 47 30 30 30 30 20 20 20 20 7 7 7 1 1 1 3 3 3 3 3 3 15 15 15 15 28 28 13 13 13 13 2 2 2 2 2 2 2 2 6 6 10 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
186 5 5 5 5 5 6 6 3 3 3 3 3 3 5 5 5 5 5 25 25 5 5 5 5 5 2 2 2 2 49 49 49 4 4 4 4 24 24 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 10 10 10 5 5 5 40 40 40 2 2 2 4 4 4 1 1 1 1 1 1 1 1 1 1 3 3 9 9 5 5 4 4 10 7 7 7 7 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 9 9 9 9 28 28 28 28 1 1 1 1 1 1 1 1 1 5 21 21 21 2 2 2 13 13 30 30 30 20 20 20 20 7 7 7 7 1 1 3 3 3 3 3 1 15 15 15 15 15 1 1 13 13 2 2 2 2 2 2 3 3 6 6 6 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 
185 43 43 5 5 6 6 6 6 3 3 3 3 3 3 5 5 5 25 25 25 25 5 45 45 2 2 2 2 2 2 49 49 4 4 4 24 24 24 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 10 10 10 10 5 5 5 40 40 40 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 3 3 3 5 5 5 4 4 4 7 7 7 7 7 5 5 5 5 5 5 4 4 4 4 4 4 4 9 9 9 9 9 4 4 4 4 1 1 1 1 1 1 1 1 1 5 5 21 21 2 2 2 13 13 13 30 20 20 20 20 20 20 7 7 7 24 24 3 3 3 3 1 1 1 15 15 15 1 1 1 1 2 2 2 2 4 4 3 3 3 6 6 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 
184 43 43 43 10 6 6 6 6 6 3 3 3 3 3 1 1 1 25 25 25 25 45 45 45 45 2 2 2 2 2 2 46 46 4 24 24 24 24 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 10 10 1 1 10 5 5 5 40 40 40 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 3 3 3 5 5 5 5 5 4 4 7 7 7 7 1 1 1 1 1 1 1 4 4 4 4 4 7 7 9 9 9 9 9 4 4 4 4 1 1 1 1 1 1 1 1 5 5 5 5 21 2 2 2 13 13 13 13 20 20 20 20 20 20 20 5 5 24 24 24 3 13 13 1 1 1 1 1 1 1 1 1 1 2 2 2 4 4 4 3 3 3 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 
183 43 43 10 10 10 6 6 6 6 6 3 3 3 1 1 1 1 25 25 25 45 45 45 45 45 22 22 2 2 2 2 46 46 24 24 24 24 24 24 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 10 10 1 1 1 1 5 5 5 5 40 40 2 2 2 2 2 2 1 1 1 1 1 1 1 1 3 3 3 10 5 5 5 5 5 5 5 7 7 7 1 1 1 1 1 1 1 1 1 4 4 4 7 7 7 7 9 16 16 16 4 4 4 4 1 1 1 1 1 1 1 1 1 5 5 1 1 8 8 8 13 13 13 13 27 27 20 20 20 20 20 5 5 24 24 24 13 13 13 13 1 1 1 1 12 12 1 1 1 1 2 39 4 4 4 13 13 13 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1 
182 10 10 10 10 10 6 6 6 6 6 5 5 1 1 1 1 1 1 25 6 45 45 45 45 22 22 22 22 2 2 1 1 46 24 24 24 24 24 24 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 34 34 4 4 4 10 10 10 1 1 1 1 1 5 5 5 5 5 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 3 10 10 10 5 5 5 5 5 5 5 7 7 1 1 1 1 1 1 1 1 1 1 2 2 7 7 7 7 16 16 16 16 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 8 8 8 8 13 13 27 27 27 27 20 20 20 20 20 5 24 24 24 13 13 13 13 9 9 9 12 12 12 12 1 1 1 39 39 39 4 18 13 13 13 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
181 10 10 10 10 10 6 6 6 6 5 5 5 1 1 1 1 1 1 6 6 6 45 45 45 22 22 22 22 22 1 1 1 1 24 24 24 24 24 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 34 34 34 34 34 34 10 10 10 1 1 1 1 1 5 5 5 5 5 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 10 10 10 10 34 34 5 5 5 5 5 20 20 1 1 1 1 1 1 1 1 1 1 2 2 2 7 7 7 16 16 16 16 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 8 8 8 8 8 27 27 27 27 27 20 20 20 20 12 12 24 24 24 6 6 6 9 9 9 9 12 12 12 12 1 1 1 39 39 39 18 18 18 13 13 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
